,Timestamp_x,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,client_type,name_ap,class,Timestamp_y,code_ap,channel_1,channel_2,ch_utilization_1,ch_utilization_2,noise_x,noise_y,tx_power_1,tx_power_2,n_clients_2_4,n_clients_5
1491,1709919713.4442668,b647ced9845d40d8ab7f725038fcc0f198fb823d08fa3ed1a4d49dd5cbb6a92a,7f539489be521577accfb3295852ad543107e8a03c33cdf88c18c3c72ede6777,unito.it,-53,39,78399207,10267573,10.0,AP-PELLEGRINI-01-NEW,External,1709919725.9061918,188.38.199.197.237.192,1.0,124.0,60.0,0.0,-88.0,-97.0,4.0,2.0,0.0,1.0
1492,1709919713.4442668,6d2a5708f067fcea369fe217bdfdfc8e3353c51e31f001f390894e8601f98b1e,beffee1e37cacfdf5f9292a2324eb76a6a7f3736416395b72edb6739aca48e79,studenti.polito.it,-67,27,462101190,28153138,10.0,AP-AULA12I-02,Student,1709919725.9061918,204.70.214.221.1.160,11.0,100.0,4.0,1.0,-92.0,-89.0,3.0,1.0,4.0,35.0
1493,1709919713.4442668,2fd401e0dcc1c9ff615a9f4fe65ce8de24724a8ab9278e928da85884e5abcfc4,23ced0e938826176595bb5d5f77c4e990c113826964d762997e274e895ec7afa,studenti.polito.it,-61,33,541096347,278458715,10.0,AP-BCI-05,Student,1709919725.9061918,188.38.199.221.106.64,6.0,52.0,44.0,6.0,-93.0,-98.0,5.0,1.0,0.0,30.0
1494,1709919713.4442668,7e333eddf6bd4b0cc15a2e3b7e75735ef61672c94283218291616fddc860498d,19a3ab9be94cdcf1406a536df1db03c60199cecfe9756044d2f27c3444c90623,polito.it,-58,34,815253601,38233913,10.0,AP-DENER04,Staff,1709919725.9061918,24.128.144.204.249.128,6.0,64.0,11.0,5.0,-95.0,-92.0,4.0,1.0,1.0,6.0
1495,1709919713.4442668,50812b7ef97046d5defce0cf1fd8c6e9fa132173744ac34e5403b5914fdf3baa,56762547649591711680cdf86e5bb2a016c089042ef76b8f070ead1543bcbdee,polito.it,-50,38,801772203,312672195,10.0,AP-DIMEC18,Staff,1709919725.9061918,176.139.207.135.14.224,11.0,36.0,29.0,0.0,-85.0,-97.0,4.0,1.0,0.0,4.0
1496,1709919713.4442668,f4b220a3bcbecb62bdc55a6a22e3f5b7ff6d8663619620399f846989ef1131e5,57158f55bb2a2753a9e0f1f41e2701a0e83c3768dd544b024f617925e3cbfc70,studenti.polito.it,-53,39,440443251,4877713,10.0,AP-COV-C3A-XP03-12,Student,1709919725.9061918,100.246.157.174.237.64,11.0,36.0,78.0,11.0,-81.0,-92.0,5.0,6.0,1.0,1.0
1497,1709919713.4442668,1ce6726304c06888ab40e72a1a383548db5035edf1bad7882623b89cb0f06f51,2e439a7b56ea83f377d7305be149dad32fd6f88beea8edf0391f33af1c533c1a,studenti.polito.it,-62,30,9304,4734,10.0,AP-CIT-DAUIN5-01,Student,1709919725.9061918,64.1.122.237.47.32,1.0,64.0,9.0,0.0,-96.0,-88.0,1.0,1.0,2.0,4.0
1498,1709919713.4442668,d8d74ad831dbabcc69e5767d3f867783c493575cda820b9cb4c3896e2573293d,3c19ff91f80675b2e24e469f81dcfaea33a6e7a7b1e8416997a658014eba9b28,studenti.polito.it,-59,32,3495112011,44779624,10.0,AP-GESD2-02,Student,1709919725.9061918,244.207.226.178.149.0,11.0,36.0,29.0,5.0,-91.0,-89.0,3.0,1.0,1.0,17.0
1499,1709919713.4442668,b4ef6dd06b4117ff24dc81ebddd804132bee0427207ec597ab72fa2332972e90,1267c05e2f7824b21997538cb0173a7c5937043fd3bd5cf10ece878cba58a6ae,studenti.polito.it,-40,54,39572735,5989825,10.0,AP-BCI-TZ-03,Student,1709919725.9061918,188.38.199.197.244.192,1.0,124.0,52.0,19.0,-64.0,-95.0,5.0,2.0,0.0,24.0
1500,1709919713.4442668,d8be8968aacd3aaa33ded095611a76bea8398b913f14e9abe156597a9fdf9820,b022469e698c9d4fe2b65c45ebea0e1b1801763b90bccf1723428dc08decaed9,studenti.polito.it,-61,33,9699907,3388321,10.0,AP-AULA9T-02,Student,1709919725.9061918,100.246.157.106.147.32,1.0,56.0,49.0,1.0,-94.0,-90.0,5.0,2.0,0.0,4.0
