,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
2490,3d8894a35c01169dceec580958f47d65377b1276a97f11c0cccc69d0b762a4ea,e8e5e499710df2a5448dda82e520da04e96e86afcd56ccf38cd3bc0c6ad2df90,polito.it,-68.0,22.0,12566.0,6193,AP-DISMIC25,Staff
2491,6a01925cd870ab0f73c70d1b5fb3db36823396486a63c0e587b89c2f3e36ed82,6add7741bbb11a27bed538554db01f7b4552d79e0a628fea0a7b9345f79555cb,polito.it,-65.0,19.0,333207575.0,15733399,AP-DENER-ANECOICA,Staff
2492,0455208860cf6a98b1c502b663e461b9f93e4553bf10079edf719d0e1fe22a21,292f440f8db83f1907ca5bf2e5d0f2bc734685516c52f0f47f61238ef8d5552b,polito.it,-61.0,32.0,415925439.0,554500210,AP-CIT-DET4-05,Staff
2493,c8d0d72813f201f063af4a90aef57f43e549ed04545997c9c83593707554eb42,5a782d77154d050fa18aafad0465678537ece58651175f89d4ab5107cbdc2baa,polito.it,-54.0,40.0,64893194.0,5847365,AP-CIT-DET4-04,Staff
2494,d31044a1bbf0ae05fcdd4f8f1180c350192c18ffda1e47b63e8c968944b40dc9,44ec6e8bdc3e8aae81d384a8966a6c8115e1ad225df34d1b68adc9bfe1bf865e,studenti.polito.it,-50.0,44.0,1538913290.0,283206356,,Student
2495,130a72a34f699d90ff4c5ec0d6fdb8ce3584a779d3e31548b9ceef9c1fb05538,c29261f612488249f53e18eeb5c831ea54d734622bc18d440985555ad7184853,polito.it,-60.0,33.0,17534881.0,33493931,AP-AULA11S-01,Staff
2496,2fb913598da2d2ed4d6170d9ac78020124d040730cef776abaa232e7576b373e,becf96b4abb1e27bbb0f4ee6b5a2667f638de850f6a76b23222f793372eb5b73,studenti.polito.it,-47.0,45.0,12557277.0,11732902,AP-GESD2-03,Student
2497,bc130851b342db1ad2d56c4be5d9ee0312d3b6da6df5d067ecf65d3e4d351266,cd898339d77a166a767decf42d3d4737a6727bb0a1ee375ec2d009c53d161882,polito.it,-81.0,15.0,32083088.0,13745924,AP-SETTE-AULA11AM-1,Staff
2498,ef6ed37f0b49b79429883a0e6fca709751010ff4d3aaa2efce29de7cbff28fd7,ec155e28e588eed8a35ae84f96583c82152da2246bec9073da6bd70bbaef7c96,polito.it,-86.0,3.0,63597157.0,55442256,AP-SETTE-DAD-01,Staff
2499,412068d5e3213feb5ee0ad7e47d156bbbb9a25102f8da6f4e127fa9bacb6c58d,a3182af33abfcc735f1f150962ebcc6eb9b83eec5b28dcdbcdf1e75c74e2f753,polito.it,-49.0,45.0,5266372.0,4952589,AP-LABDTTF,Staff
2500,32ca8d7bb922c6356ece42b0ddf2f383141902f0c8559315a5053e5347136d6f,e7912f301c3e2c565d13946d73a6ea5881ebc3c691e9056bb7a599450cd66529,polito.it,-69.0,27.0,8197202674.0,34775012,AP-DIMEAS03,Staff
2501,f5396c8e00635bc5f81e3728394780b1a26057c873089844f78d3771b41c0b04,25f6a772f69a0e9e816ce9c4ec081e369ebc5c9812daaf0f0ad693d1db193784,studenti.polito.it,-51.0,40.0,16255302.0,512374,AP-AULA2-03,Student
2502,0b736a600872d6788da5b90f7436218e7759b611fedb694a794506672febb860,d99c5c37d027fb2e8ded380dab68effb1e999ed8100d18c29f5dd5e0bb727ada,polito.it,-67.0,24.0,1764289.0,1209478,AP-VALE-AULA10V,Staff
2503,cf6a2858f71c447cb38c378970e7b40ae1d89d39828ed8c2f995d00994ba133f,0e9fbd6958b712a07802a5806c0a2158f4d08545351069d5156f92bec6de4da4,polito.it,-75.0,23.0,696597531.0,373238022,AP-DITIC07,Staff
2504,65c830e8d95f8650ed455190c5843708af6c479109708e29d44232b32bcdcfd1,e0ea7a60183df65ffc4798bee3b50589f533c6ebb3c35ef4d8c25faa69f2abb5,studenti.polito.it,-61.0,33.0,1317660.0,776452,AP-AULA03-01,Student
2505,f0358140250a15b45fdb1a98de6935077a791339b3b12aa021988ceb1a7e23cf,15e45a27fea32f32712d9f6d41854f962cabdfa1d709a2a5c9350775c51fc1a9,polito.it,-59.0,35.0,19847449.0,472689,AP-DISTR01,Staff
2506,f89f5837891f5cf7d5171cbf870418c1189caccd961aaa6418717d1cf673afe8,21bac3fe24829282d0af443ae9f038e03017f8ccc7af1254481244be68763f64,studenti.polito.it,-53.0,40.0,617051263.0,28208289,AP-VALE-AULA4V,Student
2507,559cce4667e1e54e70bd580e8d9505e9d2bf6ca286d9d156ceb8334e044a9696,044e94cb0b3cbf57516b7e57c285519f18a95ea32213ea98b71cfcac1354c7c3,studenti.polito.it,-66.0,27.0,71988392.0,14272279,AP-SETTE-AULA02AM-1,Student
2508,3bc1191864aaf6a9210e9782fd123603ded54c3c1596448eb3c9e00d1854b8cb,47c03cf7e428a9691f1ba4ef7c652ed1bcb85b0d99d359b2db38cbac1ef655f8,polito.it,-70.0,17.0,402511.0,79068,AP-AMM-1N-XP01-03,Staff
