,mac_user,username,domain,rssi,snr,byte_rx,byte_tx,class
10699,c1:b5:9e:31:2b:7e,2e685a6902081f75ecb063880f82db4f,studenti.polito.it,-49.0,44.0,335696851.0,16206005.0,Students
10700,c1:b5:9e:31:5c:a7,f595ae0c100b36f4389d89728bac93fd,studenti.polito.it,-71.0,21.0,64016771.0,12529551.0,Students
10701,c1:b5:9e:37:2f:ac,785cd59d5bddb76242d643c36d6f75f2,studenti.polito.it,-45.0,45.0,84667400.0,18481986.0,Students
10702,c1:b5:9e:37:fe:54,87b3074b4fd198488f6c9178493ac96d,polito.it,-61.0,32.0,291958554.0,20741863.0,Professor
10703,c1:b5:9e:39:9f:1,564c1082727933393ba4e688b6183ef4,studenti.polito.it,-53.0,41.0,46224854.0,83202172.0,Students
10704,c1:b5:9e:3f:95:bc,c6e8c3323e848c59a19611d5d54691d0,studenti.polito.it,-60.0,29.0,2202063714.0,14616178.0,Students
10705,c1:b5:9e:49:b8:c,1cbbe181553da5b3cd17f7beb2061b87,polito.it,-69.0,27.0,264472372.0,14353749.0,Professor
10706,c1:b5:9e:54:b0:c2,23d0f1614665bd49ede879e6fa5c62f2,studenti.polito.it,-59.0,34.0,7997.0,4535.0,Students
10707,c1:b5:9e:55:3d:d9,5923794188e6fe6c21f87a4637494753,studenti.polito.it,-58.0,26.0,7129.0,1529.0,Students
10708,c1:f0:ac:b2:df:b5,20f0dbbde64953a6d2bbdad2da80e0bd,studenti.polito.it,-57.0,38.0,95327046.0,17601955.0,Students
10709,c1:f0:ac:b5:a2:4a,79a81b60f76ebc8db26ba6b9f159cdc6,studenti.polito.it,-59.0,31.0,36711082.0,10201116.0,Students
10710,c1:f0:ac:bc:8e:9d,188a677f83579e17bd7dbcd032339fcf,studenti.polito.it,-57.0,37.0,3958161.0,3429436.0,Students
10711,c1:f0:ac:d9:ce:bd,efe669ccbb51374604c5f21746ce4eaf,studenti.polito.it,-56.0,40.0,122256167.0,16645083.0,Students
10712,c1:f7:fd:6:c:35,fb413270019e944af548de8defcb7ca4,studenti.polito.it,-54.0,38.0,107206155.0,5715857.0,Students
10713,c1:f7:fd:1d:3:59,0c8301e652e6e1e18782a7c1f66ec6b8,studenti.polito.it,-61.0,30.0,14217616.0,3015107.0,Students
10714,c1:f7:fd:32:54:f9,c4b2937d0fe54570231aa771ac51614f,studenti.polito.it,-45.0,48.0,82348474.0,12684932.0,Students
10715,c1:f7:fd:8a:76:c9,9e191a13f1114b87bf6eb15e7c413e53,studenti.polito.it,-52.0,42.0,69574367.0,30340438.0,Students
10716,c1:f7:fd:9e:1e:27,a3e9d2270fc8b276a2381fe4aa6c376e,studenti.polito.it,-40.0,49.0,45384289.0,11261078.0,Students
10717,c1:f7:fd:a8:15:a2,37f86529e585c09a083a90eeceb99652,studenti.polito.it,-57.0,37.0,77459406.0,23088126.0,Students
10718,c1:f7:fd:cb:76:bf,940b10672e7e2aeb03d939e6f855ca09,studenti.polito.it,-51.0,43.0,120393955.0,15538066.0,Students
10719,c3:0:a1:45:e4:71,d3a2407f1115cc1294e957bde81f9d5e,studenti.polito.it,-64.0,29.0,23202539.0,1633725.0,Students
10720,c3:3:e8:c0:f7:7c,5335858b82e1233269a54d0a2ed5db3b,studenti.polito.it,-46.0,47.0,7598948.0,1262556.0,Students
10721,c3:5:38:70:cd:1e,489ce5f4af6a6e5fcaf4ff1d486dc675,studenti.polito.it,-88.0,6.0,57432909.0,4566671.0,Students
10722,c3:c:42:de:f6:ec,a15ad69df536f9c3e7feed7818b5d809,polito.it,-67.0,26.0,40258566.0,10578315.0,Professor
10723,c3:d:de:df:83:57,6907ad41d1bc83c9997a55fe5bc5340d,studenti.polito.it,-56.0,35.0,1002807.0,480603.0,Students
10724,c3:e:2a:c7:ce:97,a61e0f48cc5b7b6ad0a9ce39ca7096ca,studenti.polito.it,-56.0,35.0,109141540.0,15196765.0,Students
10725,c3:f:f5:96:9a:fd,e43148733d9d636037cebfd00f893c4b,studenti.polito.it,-49.0,45.0,3866996.0,1162116.0,Students
10726,c3:10:50:4:6:5f,2d999d8cf9f11cab9abdf69b80702f8a,studenti.polito.it,-55.0,41.0,32299517.0,6034096.0,Students
10727,c3:11:b2:91:48:6a,6e75331b948af357114d14fdc09b59a2,studenti.polito.it,-58.0,33.0,675165041.0,27972802.0,Students
10728,c3:13:d2:25:81:f9,464af63eeafbef49302dbb1473cb0bed,polito.it,-67.0,22.0,4715871.0,1552118.0,Professor
10729,c3:14:68:cb:b8:99,9e323256c560a1214e9ca650ff63b6eb,studenti.polito.it,-55.0,35.0,0.0,0.0,Students
10730,c3:16:90:aa:5b:5a,89441bfa4105f6667af4cd26f8eb4632,studenti.polito.it,-48.0,49.0,714681377.0,24984721.0,Students
10731,c3:16:ba:bd:d4:de,c834f0b39a02f4d41a4a500f6914eb2d,studenti.polito.it,-73.0,13.0,469087.0,120021.0,Students
10732,c3:16:f3:ef:b9:e9,bea853ceb2d964ebed61960b1823a974,studenti.polito.it,-61.0,29.0,2157590.0,1307685.0,Students
10733,c3:19:12:b8:aa:f3,d0cdcad3109992b2d3b368c66220bb9b,polito.it,-74.0,22.0,4079622.0,1192422.0,Professor
10734,c3:1f:c1:fe:99:5f,c4f761de8a760399e26451422fe7c375,studenti.polito.it,-58.0,34.0,573303523.0,30696390.0,Students
10735,c3:20:39:2e:76:90,9aae29f310e846b0c7ae0b9e08268de6,studenti.polito.it,-55.0,38.0,5872913.0,1441071.0,Students
10736,c3:20:57:1b:d:87,9265849e29102c530e277f7ecede333b,polito.it,-68.0,28.0,24527856.0,1021609.0,Professor
10737,c3:23:30:e6:73:14,36a129058d28a00fd4f3b055eab6a30b,studenti.polito.it,-48.0,41.0,116696388.0,12803083.0,Students
10738,c3:24:52:e9:ce:89,b18efded09e6f832002a8e9ba7984162,studenti.polito.it,-79.0,15.0,8432296.0,6143090.0,Students
10739,c3:25:73:9d:47:42,46785e147aadf871d7c930045608bce9,polito.guest,-68.0,26.0,152346863.0,19585501.0,External
10740,c3:25:ed:9f:9c:43,8073505c1f6e5d2135fd164c9900e52e,studenti.polito.it,-57.0,35.0,94385832.0,7449052.0,Students
10741,c3:26:a4:a2:8c:79,70e6cd0b28030301665eca5d0a130c49,studenti.polito.it,-45.0,47.0,102430451.0,45012694.0,Students
10742,c3:2c:fa:f5:2e:88,018da2eee12205ecb44d7df6d1e7aad5,polito.it,-66.0,19.0,463626.0,117916.0,Professor
10743,c3:2d:5:5:7a:d0,10cd392f3a298684c0463c985eb85cd9,studenti.polito.it,-58.0,36.0,19693403.0,21787900.0,Students
10744,c3:2d:bb:aa:5:57,19b5905315168ca95f5f47ed00667046,studenti.polito.it,-50.0,44.0,451238.0,318056.0,Students
10745,c3:2f:68:55:5:2a,e05a85a92e23c067f4c51c0e435f1587,studenti.polito.it,-67.0,24.0,327284931.0,15269315.0,Students
10746,c3:2f:a3:c2:7d:20,75e456729c1a1350283b8a8a0e45e7ba,studenti.polito.it,-74.0,18.0,15290474.0,918523.0,Students
10747,c3:31:5b:46:ba:2a,0e73b162a7dcbaf5fe853f176966e1e5,studenti.polito.it,-71.0,38.0,16943231.0,492427.0,Students
10748,c3:31:bd:1d:fd:44,b2d9d5c86e73a5a7f1b67844d9bf33ca,studenti.polito.it,-58.0,35.0,90909479.0,8232415.0,Students
