,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,class
1453,6ec974fc645249e34d694e9aaa367593acc836c07f5f5f6dc27873fae8ad0846,9d93990e1962e1402b605d8bc0bdda0f9d07d509e2b95e1b89dd46b2091c85d4,studenti.polito.it,-53.0,41.0,86444391.0,3889697.0,Students
1454,86cfe937851403ea52998f63f79e498fd476eb5253fdfc3f0030cb7d56763552,a39a7235c68bb8b3e03be11ae3a03712adb09feead6cab2db268e14399af70c4,polito.it,-65.0,22.0,205827245.0,19599946.0,Professor
1455,1d187105f7e5aac50195a7f7d4bf19aaf94b4a26f54242e68c7de81a2a492cce,37e8926ce2d51ee9554575316cac5d941b88ea89e69c1e48d3e3864212e39725,studenti.polito.it,-45.0,48.0,1064054995.0,34387696.0,Students
1456,1fa3f44d41657b27c6e27a878a2d14a64b0186c4028e451280c73bb04ffded3e,b3af3aedc594dbb3e537bdf124d97402bb42dcec7c6d450261e8e8da9f41f05c,studenti.polito.it,-58.0,35.0,11354154.0,1303576.0,Students
1457,e75a31221095c3c78190e85936212c8aaf3ec35b82760dd7d50b5bc187e9dc9c,72273b5e8e02f6bdcf52c2c3a7084dccc83c863b0f70e5fd1a1dad237b273c16,studenti.polito.it,-58.0,34.0,2190431.0,349015.0,Students
1458,e61ed8bcf3813325aee0b812f83881a46659279901ad38872443ec397f14d03a,2be35e74219e8fbcbdef66db714527484ff0fca1e6345b5a86d7083c89be2a64,studenti.polito.it,-61.0,29.0,1193558.0,854191.0,Students
1459,e035cda68c5882dd3490ad766f91d8b87addf037cf0e578cfc4a6ba61575fa85,745b3b17456276ad19565cf69e7293e430952a8f6acc329ce94f045bab0ce05a,studenti.polito.it,-63.0,31.0,85867578.0,9716997.0,Students
1460,2aa0e524d8c4c40e0ecfe778b00151d30576873317066e320568b19fc7e42c1e,b63737985eae28b0b284f6b152b97949e4c4e1a10e8148042a8282f82f08bcb0,studenti.polito.it,-65.0,30.0,1424870.0,669439.0,Students
1461,b6b0f59dff94e3e336e38804b51ac3bb12b3872942bb9c6a2946ac9c396cfac0,02275762372c3b9852b51abf6e914c44f9a71b5912af3edab82dd8c184ba63ad,studenti.polito.it,-53.0,32.0,1701207.0,776624.0,Students
1462,159c43fccc362360247c2cd31799e92c616e666feaccec00c74c782fffffce27,fd1651684e83bd288eab5c4383c81c99281f4969578c890b1a059c80a0289998,studenti.polito.it,-58.0,36.0,30964417.0,7443387.0,Students
1463,9cec17e60f1f08d780c2281a7f42ba33610a158ec050540bfb733f7a09222a55,06fa4700d1db5fceacb7282edee2c8c61f7ff84f34b29c3471ecfb587fc96adf,polito.it,-63.0,31.0,614850918.0,11207889.0,Professor
1464,68c36cc0f088f229e196b0940763ea91290c606160e784c8330db56725bb5568,e3ac131af248c3656caa80e847abab99fbac925414079600ddf33ac4583f018a,studenti.polito.it,-64.0,26.0,454075045.0,24915139.0,Students
1465,22e5c25866f22dd6df1e09c2048b8beb08194c46e60bcf567ef1a2c83340433a,583219e63f2e11322302054df6c3811370a8d5369c3406d5ab0186b63f573938,polito.it,-70.0,25.0,259970.0,487042.0,Professor
1466,c30fb03d005bfa08a9e91971522f1d7f747cff7e8954ba0232cd6fb037e7d081,62e459104ea88d9dbdab32feef0fc5d0a35a79546fd857763f28f3c3b4d2ac76,unich.it,-55.0,35.0,40134464.0,1892518.0,External
1467,299f6137814134b2300a0cb1584e24b6e8f83309f5deced7dd246c99d3064f91,bde0dca2870aa1119048ad413592e50c1ef7ee0ae5bf97eefdc0cde957eaed93,studenti.polito.it,-51.0,42.0,9616847.0,4272696.0,Students
1468,49f5740775c7dd3e47c3673eee2245a52574927e2460d42fc3893443ee6dc906,09aee3ad0d6e2d58c9526e30f88d0f4af4fc0ef4e425aa5992287c349e8b9e84,studenti.polito.it,-55.0,36.0,3197318.0,474948.0,Students
1469,775034fd4bb87bb3b1304194eff8dc17bd3ed2f7467faed6efc468dd48583546,d7abbecbac8948513a63d0534e064fa4c66dc4b5a2e0db106d4d3053163f3eda,polito.it,-64.0,28.0,80302.0,70670.0,Professor
1470,c0aa269a6a84f19fad34591672f8515694033a6cb849a6152c8bd0598b3fe2d8,ca5fcd1ab4684a6f47396ba83c3a904ff00eb9eb6db0a088fb82102b2d5e7183,studenti.polito.it,-55.0,38.0,57638749.0,2194367.0,Students
1471,018f5b14cacb13d10d072dc6a9530f7feb66a8f411d35fbde23eab1d3f9a4727,08eaa908632ea8989afcc89722ee0d8f52d4c9b4df87650c90b7de6ea236005b,polito.it,-80.0,10.0,2259895.0,975458.0,Professor
1472,687d682b707dc26de5fac2d236a059c447b467ca0b70fcbec4ad9c3209a5ed9f,034f9af9b3006202f56d0b1af2461eb1d72ff4e7cb6285121ea6cca20b02d223,polito.it,-62.0,31.0,11442772.0,20814176.0,Professor
1473,11cd451171354f98ae74af3c2f2a4a507f74c57231956251fb49886a6bf67b68,343f56fedb2fc76fb90762d563cb7a4c15ecc213e6cb8e8d950b2b8a0b853f02,studenti.polito.it,-51.0,41.0,438696524.0,183306200.0,Students
1474,774b4305f84cfe043377f6398ecf19e3b936dcce6a908dbfe8a4c8cb40482990,c1fb54abb29a840c27acb981abf81b28b35602cf96949940824be1c70b704c1a,studenti.polito.it,-44.0,49.0,3664899.0,44298808.0,Students
1475,4241e3836cbc3ae1756a9fe438c6f79b5f6d7992ba79e1a0d76a0b21c4521a9d,ff85693ac8ed3a2206caf5f8fe88c44bba2c99b89a54200ff039d1a7294b6fc0,studenti.polito.it,-65.0,24.0,13505.0,10509.0,Students
1476,00459b2fb70406c9d0c5dd858cef3851cd6ab6da241b813b739dd29127ac50bb,115b9af705e3d5e1571fce24ebeecc1d1ee77e81b04c0c1c526f69f209cfa6fa,studenti.polito.it,-55.0,35.0,59534102.0,5466586.0,Students
1477,449798de6bc1f13e32252b3428e9fe1e544a424c8a328ef8c814ae58bca95179,683135c5404d288075fa1317b3c1d856916fa32c9ead4e6e676a46b0f8b4fa0f,studenti.polito.it,-50.0,43.0,195898.0,178266.0,Students
1478,6dc902cb18bd7466826d92400f86ee4f5fafb4d50e268867875bcdf06f7608ef,c1ce8167d9c403b29f1a531a57b05263ba5f5d45dd902896038de9400b235f36,studenti.polito.it,-57.0,37.0,7833519.0,9829473.0,Students
1479,860b6cb03def5846398c898a8d47d9dfc7067b8fd61652f7ea2f705047269364,7732daba2437dd6c82c969548d80f75906a18d73684b788b550d34242fb54d5c,studenti.polito.it,-70.0,23.0,72069416.0,3464949.0,Students
1480,5743a8af82eed6bca8fbfb4c9f6345c008192739ed0aef6bda64a38e7e2a92d7,efaa38441ddb7b833578de1dc2a1fd45f1bacdeef11914c3d1a062515bbc7cad,studenti.polito.it,-45.0,46.0,125152239.0,14101568.0,Students
1481,2aa758b491dd140cdc19223954861e9f3c138a2525e7da3d8d5aa712d7976a56,c6f5cba5e7cb3237b23c66838e6cc7743dd84565b0c8a860875bbdfe05e93e45,studenti.polito.it,-50.0,43.0,59093673.0,80779969.0,Students
1482,e3d51c82b735e70682c1479a8f2299d14b5c741fc181dd79c2b95f1d540712f2,8d790f70fcd29e569b0485aff895dcf077ff5e3baaa48f75fa3ed35aeb753063,studenti.polito.it,-52.0,44.0,42449388.0,56880247.0,Students
1483,bdbc3cf075b5ff63db0248b0538be703734c9dcca957bb401dcd21a7bd40868c,bc9f91c6796122bff44eaf8f0fc58b323c70efab73aa63dcf6c67c4609b3cde7,studenti.polito.it,-51.0,42.0,150334981.0,313159477.0,Students
1484,ef2fbc2d8389d2ee68b7d0ac1917ef7b223f0361fcf5906feacb5f364389b8a5,5909830cc6443b4cc1ed7cab0358412fc8487004e1d9878312f1bdfb26c826dd,studenti.polito.it,-78.0,8.0,71352.0,61392.0,Students
1485,0e0609b31088cae5a00a831cd46d2e598ee434373476952b00c0d2b291b19cf4,b244e61005d2e91e10673848c43766b5bf70a564b22e80d9854fcbcd949e6351,studenti.polito.it,-56.0,39.0,137508.0,131917.0,Students
