,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
7865,d21aab54e66edf2763e3cd859b3f0d733184e89403a150dea23b3b6ae1785910,78487d2a0f699cdf6e04579e0917583ecd273a42efc3856a7f06004998da85c3,studenti.polito.it,-53.0,41.0,194152187.0,60699325,AP-CIT-DET3-02,Student
7866,3856b2de17d451cff4b6ada9e3df6f529aa9a085542e6e6f6a0e5f6c3e5a7e60,b8d15bee27bda72a3f15fbd0c5d61608445994cd545c152f408dbd0ce7546544,studenti.polito.it,-54.0,39.0,5156491.0,1559707,AP-AULA1S-02,Student
7867,f8a99a680183a5a942349098226e8b4d89c664159057cdab7ed2f6df2c19fbd4,1ea63ef097f4281505e164f48ae2ece277f990d13e91a00a459741683c548fb1,studenti.polito.it,-46.0,45.0,200114715.0,6380437,AP-VALE-BCA-ST-01,Student
7868,7ee9aaaba2a312aeba3349f8166ba1b0882898e73a319904d601ce324944aad2,c9a2206ece44061f80e32136309879fe0e2010685134d9a5030dfd4f225fc2a8,studenti.polito.it,-46.0,48.0,863396339.0,82386173,AP-SETTE-AULA11AM-1,Student
7869,35ee48c33a19932c74b8601f92e5be8eae11dc0e8bbb087c057eacf2af377b38,295762d539aad5acf1d67e28882a45654affd1b14214dd2e95cc2af63cae29c0,studenti.polito.it,-62.0,33.0,1070477079.0,18486683,AP-AULA6-04,Student
7870,3ba14d2f658b8413360bde73c4d281a4206ae155bbea9f041020d25281445b5c,a403ccda67017a585f610bb7b2b2801524fa6e62025b159f5a901a7fa8a4d30b,studenti.polito.it,-52.0,41.0,1867161259.0,118076058,AP-AULA10I-02,Student
7871,f0560dcd07a58aa30ede3e13fa834832d87b6885f202029ddc341f8afdf67697,b2d3801b629b9e1d2bf24346da50440eece7ddc3297d687a9d9d11d3e358e0d6,studenti.polito.it,-58.0,36.0,27905235.0,6115853,AP-AULA5I-02,Student
7872,360d9536bd9429029465d37f980fc4bef54dfbe196c630def07bbfc1befbee72,4c550afb3dedbb50c729478942f73e85ee3bd78018a829e7f0c25bb79e4ba873,studenti.polito.it,-48.0,29.0,63058327.0,8589906,AP-AULAR1B-01,Student
7873,aef920d14d26dc6e998296fd3891ee4b41bf5951ddb5e689ee3393bd3e788f29,d024007361dbd475c048578e91551ff4e97ca54f822972b5a8af0d4d443081db,studenti.polito.it,-82.0,7.0,5379215.0,1338399,AP-VALE-CHEVA19,Student
7874,309426d20552b886ec26d5ba10418cc6ee0a02114c9e2871db525f0c53251dbc,005353147d2ae521b40182db26f92a06ef08f07083dc7dff82ea3c8d2b36a4e2,studenti.polito.it,-57.0,36.0,58042919.0,2375406,AP-AULA9T-01,Student
7875,e3d26aa1915d875dfb740887c83da77a5669f6bcbe66499e13b68fd8fc52d432,66c9447cdb9c43c34b54671eeea6d61cebf96d33d14cdb96a1888a22fb069bf6,studenti.polito.it,-54.0,38.0,36686064.0,3439401,AP-DISMIC-1A-XPTE-13,Student
7876,a10b6605994a09c5707071e4d1fe1e8ceafbb672387fabbc52cfa59581f93010,dba75787ccc64c745223ab75c50d28662923bb8e7e70d9e85fa1f1d9b05452f2,studenti.polito.it,-64.0,28.0,615484206.0,39688908,AP-DIMAT07,Student
7877,25a2b6bdd18b25b8aba6d9bba4109e588efc65dc3dfe4ca79413c58049b49c60,b77213ed94d12b8ed3ef7d0c24907108f80260aea277c4bf0f70e87473a7f033,studenti.polito.it,-68.0,25.0,1818527.0,308693,AP-CIT-DET2-02,Student
7878,685e0b25bd674d59693f9c0b42975907a8eda77438496f7913b5c56af8cc598e,bd91a42dd49ac35a9017e01510e99307fb0f9b34947d4df4cd1e8563b2a50af0,studenti.polito.it,-54.0,38.0,2851487.0,12939835,AP-AULA1I-03,Student
7879,2bb7436bb100572ee8afee60bfeff0dfb2040ba426941d47fd3bad952b606d74,62f1c55df342c5709ceab647dca83bac2b6c3a218d78de125c72840c86d1833c,studenti.polito.it,-47.0,44.0,845603385.0,38999465,AP-SETTE-AULA01AM,Student
7880,a6f3c21c1887a90ec5f161f259105add0a54ed596c1b10de9504dfc40d2972ba,3a0fc023178d6d86809a3443a3517e1b376f51686cfb6b3afccac9de3de58bd1,studenti.polito.it,-57.0,34.0,6004713.0,1344294,AP-LAIB4-01,Student
7881,33a3d859b4be1ad4d7a7a3e522aaee6fe5891b9aa3f63159a46c589866e7d925,d3b6d150b21d6cb2a84b44139a3aebb662071a5b6d44d520bb6192ffb63610b5,studenti.polito.it,-67.0,26.0,93397730.0,14502626,AP-BCI-ST-10,Student
7882,c07d945f49d6f52e290d90daec7be608f680a57134f418c39f4f18ad2be43c34,c66fa9887974086d30a8b4fc246389a744badd83a8def62940f664e1c0376d3d,studenti.polito.it,-64.0,30.0,245515716.0,533055784,AP-AULA4VM-01,Student
7883,929ef221266e826f887ade5aa612c71633bf9f9a45ad8ee2cf8aaa4362b6eff7,254140d0e8c40aebb4e8e5788a4521656d0a482fa002c8f0a3f298cfcb879a9a,studenti.polito.it,-57.0,38.0,1581328.0,871066,AP-AULA1S-01,Student
7884,ede36dd08a3ad8b1f2bc28273c5b8f297308906a5d9f50c1758f06066f2abc98,,,,10.0,9483.0,2631,AP-VALE-AULA1V-2,Unknown
