MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
e33392480b2255625f8124e4d5f850d01f552dfe6ff37c4ac9c1f1614a26bb85,76044d381588863654c6c0143937c16d27ead3a0ab066ebb1a17a0e23adb43e4,studenti.polito.it,-60.0,32.0,213010154.0,70884492,AP-BCI-TZ-04,Student
d71ba5aa194b931e2c347520c7f6869e7f090456f2d54eeaab45a2d36b57bad2,8b339bbf59a9e6b2ac5a2f88ab2078cc45a8e560199cb226fa41b2de4a407939,polito.it,-67.0,25.0,865678229.0,100852486,AP-VALE-MN2-03,Staff
4a0585d6cec41fc3b3732ace6b981674d5563072de1d6f921a84b70412e77ebd,85433c1e6da052c5e5dbcab341711252aee02df71a5bdb3b9e2c3c0203a251e4,polito.it,-56.0,36.0,264909006.0,52533312,AP-DAUIN01,Staff
5dc308026485f5a982534b8e7d7a629328ae1080c0e22632ca7a5411bf9e5b7b,afef937f2ba5b0958b977d4c51bac0dfbecb09c9c58b93bc02fd2e10593183fb,studenti.polito.it,-48.0,45.0,22175.0,21605,AP-AULA4P-04,Student
571e14d0635481e97ef6882048dd3b32446645e49d86fe1d099c662ec035d97e,a250ec4908e74bbf19e3d155909b96f4eaee65e71f99ba2b9a434b78d8b9488d,polito.it,-65.0,33.0,1260717.0,1888889,AP-DIFIS04,Staff
a1d4c83cffd9e2f599e2d36d7da95fd8e64c44d914e0b49f0a39079d7373230f,d87407739b0cf210ddf70df5af4cfc069206a0a1bce632d851b1540e8605a4d9,studenti.polito.it,-45.0,48.0,861674.0,334472,AP-AULA12I-01,Student
5f3365e2d4130e13632f88d1d1c7e675cdab476139cfa099b6e05734b427ae9b,b04fccfd963f5d47db2b2943d284d3867729d94c94e63d740cb9793319656758,studenti.polito.it,-60.0,33.0,446861291.0,3009120,AP-BCI-TZ-03,Student
d77cfa142e3fcfaa10aa737e04c43388d2d891b9e73842d8a158f17ea70658dd,67b4a792202d500a813237001a3f36433f182748b38c2fbbd349b20a9ebd5d43,polito.it,-50.0,37.0,14504428824.0,704072325,AP-COV-C3B-XP03-14,Staff
4968114f31a1a714543071fffa2a94a53728c50638c6df627a0b816c9e22f831,,,,,0.0,0,AP-DENER07,Unknown
c5f95f6235b649ce45ed3270df151f01a58e36e383d7b9e74a1913f39558ebd2,cef82781f572a0ad975cd6b74fda3c40dbf77dc2cfaa7d124da22d5da48a230e,studenti.polito.it,-51.0,32.0,100826939.0,4637855,AP-CIT-EXCELID,Student
730cfdf360bb0f13c75136e0a299ac336bc4f3615c6b5ee01050deec71252aee,a4b50bc5945c68d2626129f705aee1d5df48f50e02219db21cd11a5d37925547,studenti.polito.it,-68.0,30.0,303388.0,434699,AP-VALE-EXCISDA,Student
341c37ae14703362aa528dd79046d80c9736c9e7356f40a6226537faf4c5fab1,3eb2b75c14d51c457ebc3ea33e4f4f446903d1fddfb5ba62bf4761af6accbda9,studenti.polito.it,-72.0,24.0,50487877.0,26085356,AP-AULA13S-02,Student
1d89fbafbc3353298ad4affd3b1a4178be7d3e6c770886c4538181a6696e1c9e,c08f6d1f43a55fb8f508d4ce57a4a197538b4bb0cdc8371d2f5a94302f778bf5,studenti.polito.it,-52.0,37.0,123652451.0,21873026,AP-VALE-BCA-ST-02,Student
1648b52883a8357bc549c5033facd69ce552d5b60b313a9c367bc7d556c4550c,1b0276d658755fdc363a78d472ceb7fabff1c3e95c3af9a9ad0358e194a2b13d,studenti.polito.it,-49.0,44.0,2077295.0,1135798,AP-ENERGY-LAB4,Student
ab676fc58d6c2d1bdebc53aa4a84e0333e3b6a2b76c9ea7f64a47dc98922a8c5,a68a591f28381730d0a41316ccd0aa84e11c94b6d8069e180dd3a2f4c74c0cb1,ntnu.no,-83.0,12.0,866519999.0,89754219,AP-LING-AULA208,External
58fedcb1ae6105777032aea05f9549fd9f075740eef52874b7353d48f347b2da,263ed74ee83db213c70d72a2094db22f6f6d8a79db98bd686ed39841d348fc30,studenti.polito.it,-66.0,26.0,72572414.0,5484069,AP-LADISPE-02,Student
4e14a9e98328ba110341b5d69e8495179b8df9a6d0fc36decf493261027b275d,08ce6042def9de3b1c92237e8fd5f7996d86f0adf92c8ee5149517f226cefbb2,polito.it,-61.0,29.0,1422626524.0,333763265,AP-DENER06,Staff
02c485f6ca84b46affef44af63fb1f5b3d5723b1805c915f38d17653370c6b7a,baff8aeaecab4bf6164bdd178c993f7cdacedb358e0e7f58befdf670c75ed128,polito.it,-55.0,37.0,84343084.0,39673019,AP-AULA8C-02,Staff
78534e105cfd74a91192ee044409f0ce8f6208a23e53abe0fe443f0c90059532,,,,21.0,451763.0,61722,AP-DIASP03,Unknown
898f3d9109a965d7760b793643accef8a234f5239569ef51386b9bf331916f2b,5fb195268e281ec6147708bcfcfa5442366d675f7727127bb0832e94a186aaaf,studenti.polito.it,-41.0,52.0,24554868.0,2294905,AP-BCI-05,Student
6e53c994573fba1b9a5afb17d8b72b0a6bd28137ecc2daa96f99a1eae4bd1324,85f9d2ab052e37e4e59de63ece1487d93f33a76ae19e1c52c0f8ea9d71b807bc,studenti.polito.it,-63.0,25.0,114081369.0,9132122,AP-INGCINEMA-03,Student
9056d05f9325b977e9e88295725ba55625bf27e3984f431537b3f4210c299e6d,5afed3ed5c93b0c29138ea7f472c1d952b9c75de9e4bbe0e95ec7e84ee6adaaf,studenti.polito.it,-58.0,36.0,2243459.0,1422725,AP-CIT-DET1-01,Student
60e81bf5dfcae315e486082633f9a5ac72b62b4dfe8efb434e79ba7f2d46b686,ae6536907588bb3687f6e018d67240bee24fb75ee83f4bc70fc1b0af0f13c469,studenti.polito.it,-56.0,41.0,123944.0,170073,AP-LING-AULA206,Student
29b8e2c7e13a5e1d33070871a0018698c94294ccedcc01732e43c7aa0aaeb3c9,,,,,132.0,36,AP-DISMIC10,Unknown
a5ace7503b7420d9c5623ed123f71e03eeb07052762fc4d55163f21507695192,,,,30.0,5982.0,7324,AP-DISMIC10,Unknown
aa3c5141ea830f0f120ee7f9803efbdf4eb6e4a71ec026dea21d16084255b654,0be3cd16b29f0872a753e26b6df3c8ea94a4922348561739a18ec0861132934a,studenti.polito.it,-51.0,41.0,116715161.0,3542469,AP-VALE-AULA4V,Student
ae4304e158ff4a171b694485d23eea2447e882a70de99b447a4899b163ccb8ad,,,,37.0,0.0,0,AP-AULA12I-01,Unknown
1a02baec71ec23cdc7255181c434d5d6f47f54011a57b7e8f0a45577aa6f80f5,792a8096f1b4aab5d5e8ac7c2615e70d53612296fa89db25129f45b8cb33214b,studenti.polito.it,-43.0,50.0,15224848.0,3309046,AP-AULA2D-01,Student
055a7b9ce1dfab70dbfe2697110f6cd9617f94bb9cc027844873cda00a1e21f0,ea2ff25cd6bb92f2273461aad57458e04c7dc0d66009a8abd13505a2562e41b0,studenti.polito.it,-60.0,34.0,284624463.0,5674963,AP-SETTE-AULA03AM,Student
